FileNumber,Role,Skills,Education
26581830.pdf,"BUSINESS DEVELOPMENT
","
Active Learning, Client Relations, Computer Proficiency, Creative Problem Solving, Critical Thinking, Data Collection, Data Entry,
Documentation, Email, Executive Management Support, Filing, Internet Research, Letters and Memos, Minute Taking, Multi-Task Management,
Organizational Skills, 
Research, Scheduling, Service Orientation, Speaking, Spreadsheets, Travel Arrangements,","
High School Diploma
 
: 
1996
 
Denver High School
 
- 
City
 
, 
State
General Studies
 
Front Range Community College
 
- 
City
 
, 
State
General Studies
"
31813535.pdf,"SR. BUSINESS DEVELOPMENT DIRECTOR
","
Risk management processes and analysis
Team leadership
Staff development
Project management
Self-motivated
Process implementation
Powerful negotiator
Extremely organized
Client assessment and Â analysis
Budgeting and finance
Strong verbal communication
Team liaison
Conflict resolution
Work History
Sr. 
Business Development Director
 
, 
01/2014
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Manage and develop business relations with insurance marketplace clients sales.
Direct sales team with software sales nationally.
Consult clients to assess technology requirements and advise on software to address their needs.
Lead project management for complete life cycle of software build and customization.
Implemented marketing strategies which resulted in 12% growth of customer base.
IT Program Manager
 
, 
12/2012
 
to 
01/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Successfully built the confidence and trust of major companies, in Xerox software and support through astute assessment of client needs and
the development of strategies to meet them, raising customer satisfaction ratings from 'not happy' to 'extremely happy'. Â Provided product
sales support in closing client software purchases resulting in 1.8 million in sales in one physical year
Devised and implemented a core process for project management that ensured sustained support, eliminated errors and achieved high levels
of customer satisfaction.
Managed projects and support teams providing high quality of service to Xerox clients in Europe and USA, installing and supporting
scanned invoice data software and international net","
Doctor of Business Administration Management (D.B.A
 
: 
Argosy University
 
- 
City
 
, 
State
 
MBA
 
: 
Avaition
 
, 
2004
 
Embry Riddle University
 
- 
State
 
Bachelor of Science
 
: 
Computer Science
 
, 
1984
 
Southern Adventist University
 
- 
City
 
, 
State
 
Computer Science
Additional Information
AWARDS & ACHIEVEMENTS Process Improvement Gold Site Recertification Award (Space Shuttle- Pratt & Whitney) 
2009 Eagle
Award (Process Improvement Gold Certification, Space Shuttle) 2006 - 2008 Eagle Award (Cost saving to company of $500,000) 
2002
High Performance Achievement Award (F22 & F35 Tactical Fighter Jets) 
2001 Managed state-of-the-art supercomputing facility
construction (Pratt & Whitney) 
2000 
Private Pilot Certificate 
Ongoing
Certifications
Certified Airman certificate (private pilot) single engine
Six sigma"
38688388.pdf,"DIRECTOR OF BUSINESS DEVELOPMENT
","
Business Development & Sales Leadership *
Client Development *
Strategic Planning *
Market Expansion Team
Building 
& Leadership *
Client Engagement *
Market Analysis/Competitive 
Positioning *
Sales Presentations
Sales Forecasting *
Vendor 
Sourcing/Relations *
Change Management *
Process Improvement *
Profit 
Improvement 
Experience
January 2014
to
January 2018
Company Name
 
City
 
, 
State
 
Director of Business Development
Director of Communications Progressed through roles based on performance and contributions.
Led the development of strategies and tactical plans for driving sales and market share growth.
Facilitated meetings with prospective and existing clients to conduct presentations and promoted event support and transportation services.
Held direct accountability for all activities related to new business development, market expansion and account management.
Partnered with executive leadership in devising strategic plans for expanding market and securing new business opportunities to maximize
profit margin.
Utilized various sales techniques, including warm calling, cold calling and net"," and Training
UNIVERSITY OF COLORADO
 
City
 
, 
State
 
Bachelor of Arts
 
: 
Business Administration
 
Business Administration
"
40792022.pdf,"BUSINESS DEVELOPMENT REPRESENTATIVE
","
Administrative functions, Budgeting, budget, Business Development, competitive, contracts, Contract Negotiation, client, clients, documentation,senior management, expense reporting, focus, forecasting, insurance, inventory, Team Building, Leadership, access, Microsoft Office Suite,
Microsoft Project, negotiating, net","
MBA
 
: 
Business Administration
 
, 
2009
 
University of Phoenix
 
- 
City
 
, 
State
 
Business Administration
BS
 
: 
Psychology
 
, 
2002
 
Florida State University
 
- 
City
 
, 
State
 
Psychology
"
14241621.pdf,"BUSINESS DEVELOPMENT CENTER MANAGER
",,"al and creative programming.
Loss Prevention and Operations Manager
 
, 
08/2013
 
to 
07/2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Ensures highest level of compliance in and the execution of company sponsored training programs for all employees.
Responsible for the protection of company assets through multiple avenues of Loss Prevention.
Maintained high average (90-95%) audit stores compared to the company average (82%).
Lead Sales Associate - Part Time
 
, 
08/2013
 
to 
07/2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Exceeding company sales standards within my first month (7.9% increase to projected sales budget).Maintains a large customer base to insure return customers and promoting Belden Jewelers through excellent customer service.
Assistant Store Manager
 
, 
04/2012
 
to 
08/2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Created plans to maximize sales and customer service on a weekly basis.
Maintained a ""customer first"" selling "
10541358.pdf,"BUSINESS DEVELOPMENT REGIONAL MANAGER
","
Problem Solving
Time Management
POS and Inventory Training
Internal Conflict Resolution
Training and Development
Marketing
Budgets & Cost Reduction
Client Retention
Business Development
POS applications/software QuickBooks POS, Pacific Amber POS, and Lightspeed POS
Proficient in software such as QuickBooks and Microsoft Office applications.Â 
Advanced use of the Windows XP, Windows 8, and Windows 10 operating systems.
Experience
January 2013
 
to 
Current
Company Name
 
City
 
, 
State
 
Business Development Regional Manager
Developed, implemented, and improved inventory process and procedures resulting in reducing inventory loss throughout the company to
below 5%.
Developed and approve all company policies and procedures for inventory management and audits for POS (Point of Sale) and general
store functions.
Utilizing Excel spreadsheets observations, system testing, and statistical reports for inventory and profit and loss.
Responsible for marketing strategies and campaigns each quarter.
Produce engaging online marketing campaigns and contests though the use of social media sites and search engines.
Plan and schedule internal meetings, conference calls and web based presentations while utilizing most effective communication options to
explain new policies and procedures including but not limited to text and PowerPoint.
Plan and schedule internal meetings, conference calls and web based presentations for notify and assist Human Resources and CEO, via
Audits and 
individual reviews, in a timely manner of all personnel-related changes involving branch office staff, including branch hierarchy
reporting relationships, terminations and status changes.
Cross-trained and provided back-up support for multiple positions within the company.
Spear headed a junior leadership program which increased employee retention.
Tested and selected POS software that was implemented throughout the company.
POS set up such as new product entry, employee set up, Transaction corrections, Inventory adjustments and customized reporting.
Utilized most effective communication options to explain new policies and procedures including email, text, social (digital media),
PowerPoint.
Assisted Customers with complaints or concerns about the service or product received.
Communicated directly with vendors to insure inventory stock levels were adequately maintained and quality of product was approved and
maintained.
Responsible for resolving internal conflicts with both mangers and employees to ensure a productive "," and Training
May 2012
Arabia Mountain High School
 
City
 
, 
State
 
High School Diploma
 
Top 15% of my class 3.7
2017
Darton State College
 
City
 
, 
State
 
Business Administration 
Associate of Applied Science
"
36574147.pdf,"BUSINESS DEVELOPMENT SPECIALIST
","
Computer, Interpersonal, Customer Service, Analytical, Relationship Driven, Training, Presentational, Sales","
2012
 
Bachelors
 
:
 
American Intercontinental University
 
- 
Business Management - Marketing
 
City
 
, 
State
 
, 
US
Course"
19557384.pdf,"BUSINESS DEVELOPMENT LEADER
","
Strong business acumen
Managing cross functional teams
Motivational management style
Sales and pricing strategies
Customer-focused sales leader
New product and market development
Strategic sourcing and hedging
Data-driven decision making
Demand prediction
Supply chain and resource management
Cost control and profit maximization
Project planning and development
Business forecasting and strategy MS Office Suite, Adobe Photoshop, Macromedia Flash and
Dreamweaver, Programming Skills - HTML, C, C++
Experience
Business Development Leader | Partner | Director
 
Feb 2010
 
to 
Nov 2017
 
Company Name
 
ï¼​ 
City
Spearheaded company-wide marketing campaigns introducing new products which boosted sales 
by more than 67% in just 1 year.
Increased gross profit by 135%, net profit by 133% and EDITDA by 100% in less than 7 years.
Ensured long-term profitability by researching and renegotiating vendor and customer contracts.
Identified and eliminated loss making products and promoted profitable ones.
Single-handedly developed a large customer base for a new product range increasing sales from 
zero base to more than $2 million in just
under 4 years.
Demonstrated strong leadership by recruiting, training and managing more than 20 employees 
across different locations and multiple
departments.
Managed accounts of more than 300 customers directly, retaining almost all of them till date.
Strategically sourced products and negotiated long term contracts by consistently beating 
aggressive competition in reverse auctions to win
business of a major manufacturer.
Gained market share post the recession years of 2008 and 2009 by segmenting customer base 
and servicing new specialized niches.
Developed and implemented employee welfare policies and other company policies on ethical 
way of conducting business.
Assisted in preparing balance sheets and filing multiple tax returns including income tax, excise 
duty, service tax, value added tax, and goods
and service tax.
Worked closely with auditors, set 
budgets for expenses, negotiating secured and unsecured credit lines with banks.
Teaching Assistant
 
Aug 2007
 
to 
Dec 2009
 
Company Name
Graduate Teaching Assistant
Worked for two and half year as graduate teaching assistant, teaching 
organic chemistry laboratory to undergraduates.
Trained over 250 students in basic to semi-advanced theoretical and 
laboratory skills in organic chemistry 
Responsibilities.
Presented lectures to class of over 100-150 students.
Conducted multiple 
one-on-one student review sessions.
Responsible for making presentations, teaching course material, teaching lab 
skills, and grading of assignments and final exams.
Education and Training
Masters of Science
 
, 
Organic Chemistry
 
May 2010
 
Organic Chemistry Research and Thesis Option), Virginia Tech
Bachelor of Technology
 
, 
Dyes and Intermediates, Institute of Chemical Technology
 
May 2007
 
Dyes and Intermediates, Institute of Chemical
Technology Research Publication Pd-catalyzed amination; Tetrahedron Letters. 2011, 52, 916
Research Project: Mild and convenient ways to prepare N-alkyl tacrines (June 2008 - May 2010)
 
May 2007
Skills
Dreamweaver, Adobe Photoshop, balance sheets, basic, budgets, C, C++, chemistry, contracts, Cost control, credit, clients, decision making,
delivery, filing, Macromedia Flash, forecasting, functional, gross profit, HTML, leadership, leadership skills, Letters, logistics, Managing,
manufacturing 
processes, marketing, market, market development, MS Office Suite, win, 2000, negotiating, negotiator, policies, presentations,pricing strategies, profit, Programming, Project planning and development, Publication, quality, quality assurance, recruiting, researching, Research,
Sales, Self-starter, strategy, Strategicsourcing, Supply chain, tax, tax returns, teaching"," and Training
Masters of Science
 
, 
Organic Chemistry
 
May 2010
 
Organic Chemistry Research and Thesis Option), Virginia Tech
Bachelor of Technology
 
, 
Dyes and Intermediates, Institute of Chemical Technology
 
May 2007
 
Dyes and Intermediates, Institute of Chemical
Technology Research Publication Pd-catalyzed amination; Tetrahedron Letters. 2011, 52, 916
Research Project: Mild and convenient ways to prepare N-alkyl tacrines (June 2008 - May 2010)
 
May 2007
"
29208172.pdf,"BUSINESS DEVELOPMENT ANALYST
","
Business Analysis, Account management, Accounting, Big Data, Business Administration, Business Consulting, Business Development, Business
Solutions, Business Systems, Customer Relationship Management, Client Relations Development, Database, Direct Marketing,Finance,
Information Technology, Law, Leadership, Director, Marketing, Market Evaluation, Messaging, Enterprise, Net","
Master of Science
 
: 
Information Systems-Graduate Business Analytic Certificate 
, 
2017
 
UNIVERSITY OF PHOENIX
 
ï¼​ 
City
 
, 
State
Master of Science
 
: 
Criminal Justice 
, 
2003
 
TIFFIN UNIVERSITY
 
ï¼​ 
City
 
, 
State
Specialization: Criminal Justice Administration
Bachelor of Science
 
: 
Public Administration
 
, 
1997
 
MYERS UNIVERSITY
 
ï¼​ 
City
 
, 
State
"
12059198.pdf,"DIRECTOR OF BUSINESS DEVELOPMENT
","
acute care, administration, benefits, budget, business development, contracts, customer service, interpersonal, leadership, marketing, presentations,
sales, finance, cultured, team ","/Marketing Liaison
Create and sustain strong relationships with referral sources.
Clinically reviewed referrals for placement.
Market to physicians, case managers, and patient families to inform them about their choice for long-term acute care.
"
18757174.pdf,"BUSINESS DEVELOPMENT MANAGER
","
Agency, billing, conferences, customer support, database, special events, hazardous waste disposal, hazardous waste, leadership, regulatory
compliance, mailing, access, excel, office, outlook, word, packaging, problem solving, process equipment, publications, quality, quality control,
reading, sales, shipping, team",", and personable and "
